STATEFP10,STATE,STATE_ABV,ZCTA,GEOID10,MULTI_STATE,POP,PR_HRI,F_HRI,LOW_EMS,P_NEHD,PR_NEHD,HHB_SCORE,HHB_RANK,P_CHD,PR_CHD,F_CHD,P_OBS,PR_OBS,F_OBS,P_DIABETES,PR_DIABETES,F_DIABETES,P_COPD,PR_COPD,F_COPD,P_ASTHMA,PR_ASTHMA,F_ASTHMA,P_MNTHL,PR_MNTHL,F_MNTHL,F_SEN_COUNT,SEN_SCORE,SEN_RANK,P_UNINSUR,PR_UNINSUR,P_POV,PR_POV,P_UNEMP,PR_UNEMP,P_NOHSDP,PR_NOHSDP,P_ISO,PR_ISO,P_ELP,PR_ELP,P_DISABL,PR_DISABL,P_ODW,PR_ODW,P_AGE65,PR_AGE65,P_AGE5,PR_AGE5,SOCIODEM_SCORE,SOCIODEM_RANK,P_IMPERV,PR_IMPERV,P_TREEC,PR_TREEC,P_NOVEH,PR_NOVEH,P_MOBILE,PR_MOBILE,P_RENT,PR_RENT,P_OZONE,PR_OZONE,P_PM25,PR_PM25,NBE_SCORE,NBE_RANK,OVERALL_SCORE,OVERALL_RANK
13,GA,Georgia,30041,1330041,0,52749,54,0.75,0,4.52,0.0607,0.4054,0.2197,4.2,0.0732,0,28.2,0.1012,0,7.9,0.0945,0,4.5,0.0672,0,8.8,0.0706,0,12.6,0.0823,0,0,0,0,7.2,0.5359,7.31982961,0.0982,3.7,0.4104,5.6,0.248,6.59706797,0.0904,2.045287413,0.7774,6.7,0.0673,4.576672587,0.1324,12.7,0.1934,5.6,0.5283,0.3082,0.1054,12.90923349,0.7587,38.22910271,0.3592,1.5,0.2226,2.8,0.3336,15.16102679,0.2492,1,0.6973,0,0,0.3744,0.3179,0.1608,0.0323
13,GA,Georgia,30043,1330043,0,80241,48,0.5,0,4.15,0.054,0.277,0.0758,3.8,0.0462,0,30.7,0.1733,0,8.8,0.1758,0,4.6,0.074,0,9.1,0.1116,0,14.5,0.2671,0,0,0,0,14.2,0.8373,16.79112845,0.3703,5.6,0.6484,9.8,0.4979,8.078586058,0.1442,6.617303013,0.9215,6.8,0.0702,8.555716226,0.3376,9.5,0.0858,6.4,0.6659,0.4579,0.4076,29.32081044,0.855,36.59881068,0.375,1.8,0.2524,1.8,0.2869,30.32427695,0.684,0.333333333,0.458,0,0,0.4159,0.431,0.2286,0.085
13,GA,Georgia,30044,1330044,0,79701,48,0.5,0,4.171428571,0.0541,0.277,0.0758,4,0.058,0,33.2,0.2737,0,10.1,0.3412,0,5,0.1064,0,9.6,0.2268,0,15.7,0.4363,0,0,0,0,21,0.9426,25.74155885,0.6397,4.4,0.5068,16.8,0.77,7.726413145,0.1305,11.39570219,0.961,6.1,0.0517,13.84196063,0.6588,8.3,0.0618,7,0.755,0.5478,0.64,26.25881199,0.8395,42.22911097,0.3197,2.7,0.3494,1.1,0.2477,35.80850748,0.7808,0.333333333,0.458,0,0,0.4279,0.4641,0.295,0.1719
13,GA,Georgia,30045,1330045,0,34402,60,0.75,0,10.16,0.2956,0.5228,0.4373,4,0.058,0,34.9,0.3647,0,10,0.3272,0,5,0.1064,0,10,0.3568,0,15.6,0.4207,0,0,0,0,12.5,0.7875,19.53130449,0.4579,5.5,0.6383,9.3,0.4715,5.590166131,0.0627,4.163471291,0.8738,7.3,0.0843,7.612373127,0.2822,6.8,0.0426,6,0.5991,0.43,0.3405,19.74169295,0.806,43.7156037,0.3061,2.2,0.2958,0,0,14.53273283,0.232,1,0.6973,0,0,0.3339,0.2214,0.2498,0.1091
13,GA,Georgia,30046,1330046,0,34523,60,0.75,0,3.9,0.048,0.399,0.2103,4.9,0.1522,0,35.1,0.3779,0,11.2,0.5047,0,6.3,0.2527,0,10.2,0.4313,0,16.7,0.5852,0,0,0,0,21.9,0.9491,33.31717172,0.8027,5.8,0.6688,16.6,0.7642,12.10760695,0.3886,8.700747034,0.9424,8.1,0.1158,12.21911622,0.5673,11.3,0.1383,8.6,0.8947,0.6232,0.8156,35.74299694,0.8845,27.86953459,0.4599,6.9,0.7225,1.2,0.2535,46.61227661,0.8872,0.333333333,0.458,0,0,0.5237,0.7025,0.4321,0.4273
13,GA,Georgia,30047,1330047,0,59660,56,0.75,0,4,0.0497,0.3998,0.2111,4.9,0.1522,0,30.6,0.17,0,10.6,0.4152,0,5.5,0.1573,0,9.2,0.1293,0,14.1,0.2152,0,0,0,0,17.5,0.9048,17.44686698,0.3915,4.1,0.4656,15.2,0.7226,7.753682488,0.1317,8.296893909,0.9394,7.3,0.0843,11.44484247,0.519,12.9,0.2028,6,0.5991,0.4961,0.5066,22.95633396,0.8224,44.32456075,0.2997,2,0.2749,0.6,0.2083,24.2393558,0.5285,0.666666667,0.618,0,0,0.3931,0.3676,0.2713,0.1374
13,GA,Georgia,30052,1330052,0,59451,60,0.75,0,3.485714286,0.0393,0.3946,0.1998,4.7,0.1251,0,34.1,0.3178,0,9.5,0.2575,0,5.7,0.1786,0,9.8,0.2874,0,15.7,0.4363,0,0,0,0,11.4,0.7499,17.7658498,0.4024,5.1,0.5944,8.6,0.4318,7.69030969,0.1285,1.284079278,0.7016,11,0.2852,11.27994058,0.5078,12.9,0.2028,6,0.5991,0.4604,0.4132,10.82726094,0.7405,43.27507601,0.3107,2.5,0.3289,6.2,0.4686,19.91480298,0.3961,1.333333333,0.7627,0,0,0.4296,0.4686,0.2704,0.1359
13,GA,Georgia,30054,1330054,0,11985,54,0.75,0,3.866666667,0.0475,0.3988,0.2101,6,0.3488,0,36.5,0.4862,0,11.6,0.564,0,7.3,0.4066,0,10.2,0.4313,0,17.3,0.6711,1,1,0.1667,0.3497,16.6,0.8904,22.73417722,0.5557,8.9,0.8592,16.5,0.7614,11.4419018,0.3392,1.364471267,0.7116,16.3,0.6296,7.462048322,0.2725,20,0.6293,7.2,0.7801,0.6429,0.8569,2.991702459,0.5871,53.2853144,0.2112,2.3,0.3059,14.4,0.6835,21.32190942,0.4398,1.333333333,0.7627,0,0,0.4272,0.4622,0.4697,0.5034
13,GA,Georgia,30055,1330055,0,3018,52,0.75,0,4.4,0.0577,0.4038,0.216,6.7,0.5042,0,37.1,0.5357,0,12,0.6182,0,8.4,0.5936,0,10.1,0.3953,0,17.1,0.6422,0,0,0,0,13.5,0.8182,20.96962617,0.5022,5,0.5821,12.7,0.6326,9.260700389,0.2013,0,0,14.6,0.5262,23.07157748,0.9145,19.6,0.6075,5.5,0.51,0.5295,0.5938,0.979795438,0.2929,47.70682508,0.2645,1.4,0.2144,13.7,0.668,14.34563758,0.2273,0.666666667,0.618,0,0,0.3264,0.2046,0.2536,0.1136
13,GA,Georgia,30056,1330056,0,2500,20,0.25,0,4.55,0.0609,0.1554,0.0134,5.8,0.3082,0,37.3,0.5528,0,11.1,0.4912,0,7.7,0.4743,0,10.2,0.4313,0,17.4,0.6837,1,1,0.1667,0.3497,8.4,0.6106,18.24234354,0.4186,5.5,0.6383,21.4,0.8659,8.582949309,0.1672,0.371402043,0.5129,15.5,0.5824,22.1761658,0.9033,17.5,0.4747,4.8,0.3895,0.5563,0.6618,0.946536984,0.281,49.53542223,0.2463,5.6,0.6311,22.5,0.8194,14.25,0.2251,0.666666667,0.618,0,0,0.403,0.3959,0.3552,0.277
